source_id,entity_name,category,city,address,latitude,longitude,primary_contact,secondary_contact,opening_hours,image_url,data_source
1668719004,Begam Jan Hospital,Hospital,Islamabad,Lehtrar Road Alipur,33.6453694,73.1744526,923235380006,,,OSM,OSM
4533827300,Dua Family Hospital,Hospital,Islamabad,1278 A. St 15. O 9 Sector. Police Foundation. Near Tehzeeb Bakers. Islamabad,33.566509,73.1375352,923005818148,,Mo-Fr 17:00-21:00,OSM,OSM
4603298715,family hospital,Hospital,Islamabad,,33.6146108,72.9955142,923044684629,,,OSM,OSM
4692624592,Abrar Surgery,Hospital,Islamabad,,33.6021195,73.0317435,92515565813,,,OSM,OSM
4889677808,Al Ain International Specialist Eye Hospital,Hospital,Islamabad,Service Road East G-10,33.6863031,73.0208068,923005319353,,,OSM,OSM
4889677811,K R L General Hospital,Hospital,Islamabad,Service Road South G9,33.6776437,73.0318287,92519106270,,Mo-Sa 11:00-14:00,OSM,OSM
5152915622,Riphah International Dental Hospital University,Hospital,Islamabad,Street 40,33.6524304,72.9584212,92512891835,,Mo-Sa 08:30-19:00; Su 00:00-24:00,OSM,OSM
6199004686,Ali Hospital,Hospital,Islamabad,,33.6794571,73.0333924,92514444435,,,OSM,OSM
7417878942,HBS General Hospital,Hospital,Islamabad,"Alipur, Lethrar Road",33.6448002,73.1726511,92512621044,,,OSM,OSM
9501618144,شفاء ہیلتھ کئیر ہسپتال,Hospital,Islamabad,,33.6917797,72.944307,923023255553,,08:00-21:30,OSM,OSM
12754325901,Elaaj International Hospital Islamabad,Hospital,Islamabad,Service Road East,33.630284,73.1149925,92512619276,,24/7,OSM,OSM
12754336401,Health International Hospital,Hospital,Islamabad,Service Road East,33.6327853,73.1130521,92512619271,,24/7,OSM,OSM
13233399419,standard care hospital,Hospital,Islamabad,bahria town phase 4,33.5504519,73.1256581,92512744321,,,OSM,OSM
13240932685,IDC,Hospital,Islamabad,Peshawar Road,33.5979608,73.04565,923111000432,,Mo-Sa 09:00-22:00,OSM,OSM
ChIJbydkZ4q_3zgRW6Tjr1kfsts,Advanced International Hospital Islamabad,Hospital,Islamabad,"12-2G Markaz Rd, G-8 Markaz G 8 Markaz G-8, Islamabad, Pakistan",33.6966172,73.0504557,9251111786005,,Monday: Open 24 hours | Tuesday: Open 24 hours | Wednesday: Open 24 hours | Thursday: Open 24 hours | Friday: Open 24 hours | Saturday: Open 24 hours | Sunday: Open 24 hours,https://places.googleapis.com/v1/places/ChIJbydkZ4q_3zgRW6Tjr1kfsts/photos/AcnlKN0mcq7UwsLwtFASfx2O3xEb_XSXJ41reKajytNkX1MAe0Lx0Cm5IGmFwuNDvpKB40J0hCIXP1Cir553zirNITEfJk2nqPxh6xzmY0FOsXUek61O8RFQ3bVb6YZzilezrHrT6LQlM8sZJrK81l0pRmOtsj6Dtdd-F6TFG279GrjT2vWsB5Qw2EO6W-c-BO3OHfAukvPuh1SesLcxZNJANLUj32-1bYZBdhW9QYuHq7YCLR_Opj2d5iG7Ib7cvS5up25BdK1GBNV3E9PkuzOrh5JpYm-dkJJ5cI-lJikRSB0MGQ/media?key=AIzaSyAC2_-pyrnmZKI-rvLTY-te4vWcACYS3MA&maxWidthPx=400&skipHttpRedirect=true,Google Maps
ChIJwaKtvyK_3zgRW1WJl7-s2aQ,PAF Hospital Islamabad,Hospital,Islamabad,"Main Margalla Rd, E-9/1 E-9, Islamabad, Pakistan",33.7082192,73.0153647,92519564000,,Monday: Open 24 hours | Tuesday: Open 24 hours | Wednesday: Open 24 hours | Thursday: Open 24 hours | Friday: Open 24 hours | Saturday: Open 24 hours | Sunday: Open 24 hours,https://places.googleapis.com/v1/places/ChIJwaKtvyK_3zgRW1WJl7-s2aQ/photos/AcnlKN2AUGJZ0IiLRAf0Nj1_0sVDi7fFie1GJFZvzg7krsteKNiVFG6k8bAzdT-Zcy1KKc51ltw9E0lAF0EYLD_KqDUwXrvMvRzRu1AJJCOApO3DsDWsngk3c4PH-37aTLfqdT0W3SU6_YAqxI_R4nsl-LXBBRJDF5DrwA1CJn1J9K0qWw3tG-3QFHmOhrgvSOv78JvyXsW0LQWEYh6m5wfY0oa29NqHuzX9gOer4Un7DYZ18tFBBaOucGaFUydZnztpkxgXYG6WIyyrXoCBC7gFy-Fwpi8J-qt2tdqiKuTUE74/media?key=AIzaSyAC2_-pyrnmZKI-rvLTY-te4vWcACYS3MA&maxWidthPx=400&skipHttpRedirect=true,Google Maps
